Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
222.67144560813904	0	-303.40527	163.21278	30.890244	-741.0091	102.48849104859335	24.94442406824554	40073	40073
446.6725826263428	1	-263.13107	159.88995	31.962173	-723.3444	95.59904534606206	23.81044072238322	40056	80129
659.2350614070892	2	-181.95029	111.73774	-0.46899414	-592.5198	93.0906976744186	20.005665638833044	40029	120158
866.0028975009918	3	-154.48077	91.38055	75.86827	-431.55383	89.64429530201342	46.94178514169051	40071	160229
1037.5359590053558	4	-148.03749	77.49962	39.197464	-575.93713	82.10245901639344	16.652971787734298	40066	200295
1210.7188560962677	5	-131.21478	59.784264	40.940945	-383.73932	81.39837398373983	15.65584637799425	40048	240343
1412.6346440315247	6	-130.69946	56.601276	46.119797	-396.77942	79.59045725646124	15.68144832153257	40034	280377
1690.623049736023	7	-122.138535	48.58331	22.262085	-366.5093	79.16798418972331	16.34791699292773	40059	320436
1900.9026942253113	8	-113.94843	49.559483	55.3713	-369.4585	84.98938428874735	45.47557023453286	40030	360466
2091.556325674057	9	-106.69241	40.136402	46.092224	-382.5569	84.041928721174	17.16934774359271	40088	400554
2308.7619545459747	10	-99.68743	40.455616	14.398422	-318.7091	89.89213483146068	18.22474071404529	40002	440556
2509.873630285263	11	-93.63699	46.300663	43.947067	-335.69925	96.32932692307692	48.70105734052834	40073	480629
2745.6301081180573	12	-83.60671	52.337486	48.354847	-335.05212	111.62395543175488	70.40539661005923	40073	520702
3034.3011054992676	13	-73.20622	54.206326	38.18798	-366.25516	140.7859649122807	125.73131954806256	40124	560826
3418.7645347118378	14	-71.90909	64.903145	46.760754	-444.08783	212.75	213.11728969435273	40848	601674
3841.3935980796814	15	-85.921486	84.17545	40.035492	-389.48163	340.1864406779661	293.28250247299576	40142	641816
4283.8412408828735	16	-141.62755	95.02402	32.691162	-412.5081	409.7755102040816	288.2993600979769	40158	681974
4758.895311594009	17	-164.7751	105.77547	19.535194	-441.14087	509.43037974683546	315.3860677571202	40245	722219
5215.684693574905	18	-180.91547	112.29537	36.89067	-410.8595	507.9240506329114	301.4334014297626	40126	762345
5724.716960906982	19	-154.29544	116.80374	22.954796	-510.49408	590.3235294117648	329.434160215596	40142	802487
